,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
5665,2012,7,20,5,64,0.0,0.049977853866393245
5664,2012,7,19,5,65,0.0,0.049977853866393245
5663,2012,7,18,5,65,0.0,0.049977853866393245
5662,2012,7,17,5,68,0.0,0.049977853866393245
5685,2012,8,4,5,27,0.0,0.049977853866393245
1131,2013,5,25,5,4,0.0,0.050892634134724696
1102,2013,5,11,5,2,0.0,0.050892634134724696
1104,2013,5,12,5,15,0.0,0.050892634134724696
1129,2013,5,24,5,30,0.0,0.050892634134724696
1127,2013,5,23,5,5,0.0,0.050892634134724696
5702,2012,8,11,5,28,0.0,0.049977853866393245
1155,2013,6,1,5,26,0.0,0.050892634134724696
1124,2013,5,22,5,23,0.0,0.050892634134724696
5700,2012,8,10,5,27,0.0,0.049977853866393245
1122,2013,5,21,5,15,0.0,0.050892634134724696
1120,2013,5,20,5,14,0.0,0.050892634134724696
5698,2012,8,9,5,11,0.0,0.049977853866393245
7966,2018,4,26,5,20,0.0,0.049977853866393245
1117,2013,5,19,5,6,0.0,0.050892634134724696
5695,2012,8,8,5,15,0.0,0.049977853866393245
1115,2013,5,18,5,9,0.0,0.050892634134724696
1113,2013,5,17,5,11,0.0,0.050892634134724696
1112,2013,5,16,5,10,0.0,0.050892634134724696
5693,2012,8,7,5,31,0.0,0.049977853866393245
1110,2013,5,15,5,14,0.0,0.050892634134724696
7964,2018,4,25,5,19,0.0,0.049977853866393245
1108,2013,5,14,5,13,0.0,0.050892634134724696
5691,2012,8,6,5,39,0.0,0.049977853866393245
1106,2013,5,13,5,16,0.0,0.050892634134724696
5689,2012,8,5,5,39,0.0,0.049977853866393245
1156,2013,6,2,5,38,0.0,0.050892634134724696
1173,2013,6,11,5,19,0.0,0.050892634134724696
1158,2013,6,3,5,38,0.0,0.050892634134724696
1237,2013,7,12,5,21,0.0,0.050892634134724696
8022,2018,6,8,5,94,0.0,0.049977853866393245
1235,2013,7,11,5,22,0.0,0.050892634134724696
8021,2018,6,6,5,73,0.0,0.049977853866393245
1233,2013,7,10,5,21,0.0,0.050892634134724696
8020,2018,6,5,5,101,0.0,0.049977853866393245
1230,2013,7,9,5,14,0.0,0.050892634134724696
3070,2018,6,23,5,34,0.0,0.050892634134724696
1228,2013,7,8,5,16,0.0,0.050892634134724696
8025,2018,6,10,5,94,0.117499307,0.049977853866393245
8017,2018,6,4,5,111,0.0,0.049977853866393245
8016,2018,6,3,5,108,0.114704937,0.049977853866393245
1224,2013,7,6,5,25,0.0,0.050892634134724696
1222,2013,7,5,5,26,0.0,0.050892634134724696
8014,2018,6,1,5,101,0.178953499,0.049977853866393245
1220,2013,7,4,5,26,0.0,0.050892634134724696
1219,2013,7,3,5,17,0.0,0.050892634134724696
1218,2013,7,2,5,29,0.0,0.050892634134724696
8013,2018,5,31,5,76,0.177458256,0.049977853866393245
1216,2013,7,1,5,31,0.0,0.050892634134724696
1226,2013,7,7,5,19,0.0,0.050892634134724696
8012,2018,5,29,5,88,0.093783297,0.049977853866393245
1239,2013,7,13,5,14,0.0,0.050892634134724696
1241,2013,7,14,5,19,0.0,0.050892634134724696
8054,2018,6,27,5,100,0.0,0.049977853866393245
8052,2018,6,26,5,55,0.0,0.049977853866393245
8051,2018,6,25,5,72,0.000128845,0.049977853866393245
3078,2018,6,27,5,36,0.0,0.050892634134724696
3077,2018,6,26,5,14,0.0,0.050892634134724696
8047,2018,6,24,5,99,0.0,0.049977853866393245
8043,2018,6,23,5,96,0.0,0.049977853866393245
1255,2013,7,21,5,5,0.0,0.050892634134724696
8040,2018,6,21,5,102,0.091680728,0.049977853866393245
8027,2018,6,13,5,78,0.0,0.049977853866393245
1253,2013,7,20,5,13,0.0,0.050892634134724696
1251,2013,7,19,5,12,0.0,0.050892634134724696
8038,2018,6,17,5,70,0.047560781,0.049977853866393245
1249,2013,7,18,5,13,0.0,0.050892634134724696
3075,2018,6,25,5,23,0.0,0.050892634134724696
1247,2013,7,17,5,14,0.0,0.050892634134724696
1245,2013,7,16,5,15,0.0,0.050892634134724696
8029,2018,6,15,5,103,0.000180061,0.049977853866393245
1243,2013,7,15,5,15,0.0,0.050892634134724696
3072,2018,6,24,5,36,0.0,0.050892634134724696
8039,2018,6,18,5,71,0.040044852,0.049977853866393245
1214,2013,6,30,5,25,0.0,0.050892634134724696
8011,2018,5,28,5,91,0.187914103,0.049977853866393245
1212,2013,6,29,5,31,0.0,0.050892634134724696
1181,2013,6,15,5,8,0.0,0.050892634134724696
7989,2018,5,10,5,61,0.0,0.049977853866393245
