,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
1545,2013,7,7,5,19,0.0,0.0
10307,2018,4,30,5,39,0.0,0.0
1547,2013,7,8,5,16,0.0,0.0
10282,2018,4,18,5,9,0.0,0.0
10305,2018,4,29,5,41,0.0,0.0
1534,2013,7,1,5,31,0.0,0.0
0,2011,5,14,5,3,0.0,0.0
6716,2011,8,8,5,18,0.0,0.0
6735,2011,8,18,5,9,0.0,0.0
11819,2020,9,4,5,2,0.0,0.0
11821,2020,9,5,5,2,0.0,0.0
6656,2011,7,1,5,43,0.0,0.0
8084,2013,8,18,5,15,0.0,0.0
6657,2011,7,2,5,85,0.0,0.0
6658,2011,7,3,5,63,0.0,0.0
6659,2011,7,4,5,92,0.0,0.0
8086,2013,8,19,5,11,0.0,0.0
8082,2013,8,17,5,16,0.0,0.0
6661,2011,7,5,5,93,0.0,0.0
6662,2011,7,6,5,57,0.0,0.0
6663,2011,7,7,5,50,0.0,0.0
6664,2011,7,8,5,81,0.0,0.0
6665,2011,7,9,5,84,0.0,0.0
6666,2011,7,10,5,76,0.0,0.0
6667,2011,7,11,5,20,0.0,0.0
8090,2013,8,21,5,8,0.0,0.0
6670,2011,7,12,5,78,0.0,0.0
8088,2013,8,20,5,8,0.0,0.0
11817,2020,9,3,5,2,0.0,0.0
11815,2020,9,2,5,1,0.0,0.0
6655,2011,6,30,5,88,0.0,0.0
11787,2020,8,19,5,16,0.0,0.0
8072,2013,8,12,5,14,0.0,0.0
11789,2020,8,20,5,14,0.0,0.0
11791,2020,8,21,5,14,0.0,0.0
10396,2018,7,3,5,94,0.0,0.0
11793,2020,8,22,5,7,0.0,0.0
11795,2020,8,23,5,9,0.0,0.0
11797,2020,8,24,5,6,0.0,0.0
8074,2013,8,13,5,19,0.0,0.0
11799,2020,8,25,5,6,0.0,0.0
11801,2020,8,26,5,6,0.0,0.0
11803,2020,8,27,5,5,0.0,0.0
8076,2013,8,14,5,23,0.0,0.0
11805,2020,8,28,5,5,0.0,0.0
11807,2020,8,29,5,6,0.0,0.0
8078,2013,8,15,5,4,0.0,0.0
11809,2020,8,30,5,5,0.0,0.0
11811,2020,8,31,5,1,0.0,0.0
8080,2013,8,16,5,18,0.0,0.0
6672,2011,7,13,5,72,0.0,0.0
6673,2011,7,14,5,35,0.0,0.0
6674,2011,7,15,5,67,0.0,0.0
6675,2011,7,16,5,26,0.0,0.0
10388,2018,6,28,5,96,0.0,0.0
6714,2011,8,7,5,20,0.0,0.0
1502,2013,6,18,5,39,0.0,0.0
6718,2011,8,9,5,30,0.0,0.0
10385,2018,6,27,5,100,0.0,0.0
6720,2011,8,10,5,20,0.0,0.0
6721,2011,8,11,5,28,0.0,0.0
10382,2018,6,26,5,55,0.0,0.0
6723,2011,8,12,5,17,0.0,0.0
6725,2011,8,13,5,23,0.0,0.0
10380,2018,6,24,5,99,0.0,0.0
6727,2011,8,14,5,22,0.0,0.0
10378,2018,6,23,5,96,0.0,0.0
6729,2011,8,15,5,12,0.0,0.0
10376,2018,6,22,5,30,0.0,0.0
6731,2011,8,16,5,19,0.0,0.0
6733,2011,8,17,5,8,0.0,0.0
10373,2018,6,21,5,102,0.0,0.0
10370,2018,6,18,5,71,0.144774437,0.08216388122153563
6711,2011,8,6,5,30,0.0,0.0
10369,2018,6,17,5,70,0.147735953,0.0850424117647439
6710,2011,8,5,5,10,0.0,0.0
6706,2011,8,3,5,41,0.0,0.0
6676,2011,7,17,5,61,0.0,0.0
6677,2011,7,18,5,64,0.0,0.0
6678,2011,7,19,5,61,0.0,0.0
10393,2018,6,30,5,91,0.0,0.0
6680,2011,7,20,5,43,0.0,0.0
6681,2011,7,21,5,57,0.0,0.0
6683,2011,7,22,5,20,0.0,0.0
6687,2011,7,23,5,23,0.0,0.0
6689,2011,7,24,5,31,0.0,0.0
6690,2011,7,25,5,58,0.0,0.0
10391,2018,6,29,5,89,0.000105512,4.777044189455125e-05
6692,2011,7,26,5,52,0.0,0.0
6693,2011,7,27,5,28,0.0,0.0
6694,2011,7,28,5,21,0.0,0.0
6697,2011,7,29,5,28,0.0,0.0
6698,2011,7,30,5,46,0.0,0.0
6700,2011,7,31,5,46,0.0,0.0
6702,2011,8,1,5,26,0.0,0.0
6704,2011,8,2,5,26,0.0,0.0
6708,2011,8,4,5,21,0.0,0.0
1500,2013,6,17,5,38,0.0,0.0
1476,2013,6,6,5,11,0.0,0.0
1496,2013,6,15,5,8,0.0,0.0
12629,2021,5,17,5,9,0.0,0.0
9691,2017,6,25,5,110,0.16074571,0.058883567775354397
12631,2021,5,18,5,10,0.0,0.0
9689,2017,6,24,5,110,0.09376777,0.034348542427283704
12634,2021,5,20,5,22,0.0,0.0
9681,2017,6,21,5,100,0.053580634,0.021590130044179742
12636,2021,5,22,5,30,0.0,0.0
12637,2021,5,24,5,38,0.0,0.0
9678,2017,6,19,5,104,0.10715995,0.04151897019696662
9676,2017,6,18,5,109,0.133949175,0.04951775597186661
12639,2021,5,26,5,99,0.0,0.0
9675,2017,6,15,5,72,0.133946761,0.07496302957838023
9673,2017,6,14,5,58,0.093762137,0.06513987391769187
9672,2017,6,13,5,99,0.160734117,0.06542146787260204
12642,2021,5,28,5,90,0.0,0.0
9670,2017,6,10,5,103,0.160731226,0.06287969735483964
12644,2021,5,29,5,114,0.0,0.0
9669,2017,6,9,5,97,0.160730258,0.06676876105489984
9667,2017,6,7,5,113,0.107152231,0.03820939704482516
9665,2017,6,6,5,112,0.053575806,0.019275164837837568
12647,2021,5,30,5,109,0.0,0.0
9661,2017,6,2,5,102,0.160723493,0.06349311008827518
9659,2017,6,1,5,110,0.133935496,0.04906258373079884
9696,2017,7,2,5,95,0.16075246,0.06818383625463598
9657,2017,5,31,5,107,0.133934692,0.050437867415772074
9698,2017,7,3,5,84,0.160753429,0.0771131367822413
9700,2017,7,6,5,85,0.160756335,0.07620730101137844
12591,2021,4,24,5,17,0.0,0.0
12593,2021,4,25,5,25,0.0,0.0
9722,2017,7,22,5,28,0.0,0.0
12595,2021,4,26,5,23,0.0,0.0
9719,2017,7,21,5,35,0.0,0.0
12598,2021,4,28,5,22,0.0,0.0
12600,2021,4,29,5,13,0.0,0.0
12602,2021,4,30,5,16,0.0,0.0
12604,2021,5,1,5,39,0.0,0.0
12606,2021,5,2,5,44,0.0,0.0
12608,2021,5,3,5,30,0.0,0.0
9713,2017,7,15,5,79,0.160765022,0.08199962817227406
12611,2021,5,4,5,28,0.0,0.0
12612,2021,5,5,5,55,0.0,0.0
12614,2021,5,6,5,44,0.0,0.0
9711,2017,7,14,5,79,0.133970082,0.06833263090157177
12616,2021,5,7,5,39,0.0,0.0
12617,2021,5,8,5,62,0.0,0.0
12620,2021,5,11,5,66,0.0,0.0
12621,2021,5,12,5,77,0.0,0.0
12623,2021,5,13,5,76,0.0,0.0
9702,2017,7,7,5,84,0.160757288,0.07711498793774506
12625,2021,5,14,5,58,0.0,0.0
12626,2021,5,15,5,12,0.0,0.0
12590,2021,4,23,5,6,0.0,0.0
9655,2017,5,30,5,103,0.160720587,0.06287553526937058
7145,2012,4,18,5,6,0.0,0.0
7171,2012,5,1,5,14,0.0,0.0
9619,2017,5,5,5,53,0.0,0.0
7173,2012,5,2,5,13,0.0,0.0
9617,2017,5,3,5,34,0.0,0.0
9615,2017,5,2,5,47,0.0,0.0
9613,2017,5,1,5,8,0.0,0.0
7177,2012,5,3,5,22,0.0,0.0
9611,2017,4,30,5,4,0.0,0.0
7179,2012,5,4,5,11,0.0,0.0
9609,2017,4,29,5,14,0.0,0.0
9608,2017,4,28,5,17,0.0,0.0
9606,2017,4,27,5,8,0.0,0.0
9603,2017,4,26,5,8,0.0,0.0
7182,2012,5,5,5,23,0.0,0.0
12652,2021,6,2,5,98,0.0,0.0
12654,2021,6,3,5,103,0.0,0.0
12656,2021,6,4,5,105,0.0,0.0
9601,2017,4,25,5,19,0.0,0.0
7183,2012,5,6,5,20,0.0,0.0
9599,2017,4,24,5,19,0.0,0.0
9597,2017,4,23,5,24,0.0,0.0
9595,2017,4,22,5,14,0.0,0.0
7185,2012,5,7,5,11,0.0,0.0
9622,2017,5,7,5,60,0.0,0.0
9652,2017,5,28,5,94,0.160718665,0.06889470943004153
7169,2012,4,30,5,20,0.0,0.0
9626,2017,5,9,5,33,0.0,0.0
9649,2017,5,25,5,95,0.160715774,0.06816827573247142
7147,2012,4,19,5,2,0.0,0.0
7149,2012,4,20,5,6,0.0,0.0
9647,2017,5,22,5,87,0.160712868,0.07443527699225157
7152,2012,4,21,5,20,0.0,0.0
7154,2012,4,22,5,4,0.0,0.0
7156,2012,4,23,5,23,0.0,0.0
9643,2017,5,18,5,76,0.160709009,0.08520675791136276
7158,2012,4,24,5,7,0.0,0.0
9640,2017,5,17,5,30,0.0,0.0
9639,2017,5,16,5,44,0.0,0.0
7160,2012,4,25,5,12,0.0,0.0
9638,2017,5,15,5,40,0.0,0.0
9636,2017,5,14,5,74,0.0,0.0
7162,2012,4,26,5,29,0.0,0.0
9634,2017,5,13,5,70,0.0,0.0
7164,2012,4,27,5,17,0.0,0.0
9632,2017,5,12,5,69,0.0,0.0
12650,2021,6,1,5,58,0.0,0.0
7165,2012,4,28,5,12,0.0,0.0
9630,2017,5,11,5,18,0.0,0.0
9627,2017,5,10,5,25,0.0,0.0
7167,2012,4,29,5,13,0.0,0.0
9624,2017,5,8,5,6,0.0,0.0
9724,2017,7,23,5,42,0.0,0.0
12588,2021,4,22,5,22,0.0,0.0
12586,2021,4,21,5,21,0.0,0.0
1422,2013,5,18,5,9,0.0,0.0
1420,2013,5,17,5,11,0.0,0.0
1418,2013,5,16,5,10,0.0,0.0
1416,2013,5,15,5,14,0.0,0.0
1414,2013,5,14,5,13,0.0,0.0
1412,2013,5,13,5,16,0.0,0.0
1410,2013,5,12,5,15,0.0,0.0
1408,2013,5,11,5,2,0.0,0.0
10987,2019,4,17,5,2,0.0,0.0
3840,2018,4,28,5,1,0.0,0.0
3843,2018,4,29,5,2,0.0,0.0
3845,2018,4,30,5,2,0.0,0.0
3847,2018,5,1,5,1,0.0,0.0
3849,2018,5,2,5,2,0.0,0.0
3853,2018,5,3,5,2,0.0,0.0
3856,2018,5,4,5,2,0.0,0.0
3858,2018,5,5,5,5,0.0,0.0
3860,2018,5,6,5,3,0.0,0.0
3866,2018,5,10,5,9,0.0,0.0
3869,2018,5,12,5,2,0.0,0.0
3871,2018,5,13,5,2,0.0,0.0
3874,2018,5,15,5,3,0.0,0.0
3876,2018,5,16,5,18,0.0,0.0
1424,2013,5,19,5,6,0.0,0.0
3915,2018,6,21,5,37,0.0,0.0
1429,2013,5,20,5,14,0.0,0.0
1433,2013,5,22,5,23,0.0,0.0
1494,2013,6,14,5,24,0.0,0.0
1492,2013,6,13,5,38,0.0,0.0
1490,2013,6,12,5,13,0.0,0.0
1488,2013,6,11,5,19,0.0,0.0
1486,2013,6,10,5,39,0.0,0.0
