,Year,Month,Day,GHI,Energy,conversion_efficiency
10623,2019,2,1,538,0.010500001,0.02129186638497918
10622,2019,2,1,506,0.0,0.02129186638497918
699,2017,8,1,40,0.0,0.006189134347155545
11052,2019,2,1,556,0.0175,0.02148469161396403
11053,2019,2,1,557,0.012500001,0.02148469161396403
11125,2021,1,1,117,0.0,0.02148469161396403
11644,2014,2,1,149,0.014500001,0.019930263951486813
11643,2014,2,1,118,0.032000002,0.019930263951486813
411,2012,8,1,43,0.0,0.006189134347155545
11619,2013,2,1,435,0.78700006,0.019930263951486813
445,2013,5,1,39,0.0,0.006189134347155545
11552,2021,2,1,234,0.0,0.021247993170063293
11497,2021,1,1,304,0.0,0.021247993170063293
11496,2021,1,1,334,0.0,0.021247993170063293
11433,2019,2,1,516,0.028500002,0.021247993170063293
11432,2019,2,1,519,0.026625002,0.021247993170063293
11357,2018,1,1,424,0.348500013,0.021247993170063293
11356,2018,1,1,457,0.347000003,0.021247993170063293
497,2013,6,1,26,0.0,0.006189134347155545
498,2013,6,1,75,0.0,0.006189134347155545
11276,2014,2,1,120,0.027500004,0.021247993170063293
11275,2014,2,1,166,0.014,0.021247993170063293
557,2013,7,1,31,0.0,0.006189134347155545
558,2013,7,1,98,0.0,0.006189134347155545
11126,2021,1,1,217,0.0,0.02148469161396403
735,2018,5,1,1,0.0,0.006189134347155545
736,2018,5,1,13,0.0,0.006189134347155545
763,2018,6,1,101,0.134229183,0.006189134347155545
10537,2018,1,1,464,0.226000011,0.02129186638497918
975,2019,9,1,3,0.0,0.006189134347155545
997,2020,6,1,9,0.0,0.006189134347155545
998,2020,6,1,10,0.0,0.006189134347155545
9908,2014,2,1,155,0.0,0.01939967356210773
9907,2014,2,1,122,0.0,0.01939967356210773
9901,2014,1,1,125,0.09300001,0.01939967356210773
9900,2014,1,1,117,0.028500002,0.01939967356210773
9843,2013,2,1,482,0.955500007,0.01939967356210773
9842,2013,2,1,426,0.490500033,0.01939967356210773
1041,2020,7,1,7,0.0,0.006189134347155545
1042,2020,7,1,17,0.0,0.006189134347155545
9702,2021,1,1,95,0.0,0.025337925396366326
9701,2021,1,1,51,0.0,0.025337925396366326
9657,2020,7,1,547,1.1450001,0.025337925396366326
9656,2020,7,1,311,0.111000001,0.025337925396366326
1094,2020,8,1,3,0.0,0.006189134347155545
1095,2020,8,1,30,0.0,0.006189134347155545
9639,2020,2,1,146,0.0,0.025337925396366326
9600,2020,1,1,193,0.097000003,0.025337925396366326
9993,2016,1,1,329,0.094000004,0.01939967356210773
